osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
332900,76,2100105,"Afonso Cunha",MA,ASH,532160,afonso.cunha,BR-MA-AfonsoCunha,98,"{""area_sr"": 0.03032, ""area_km2"": 372, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 6631}, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1741, ""elongation_factor"": 1.52, ""postalCode_ranges"": ""[65505-000 65509-999]"", ""shares_border_with"": [""BR-MA-AldeiasAltas"", ""BR-MA-Chapadinha"", ""BR-MA-CoelhoNeto""]}"
332985,76,2100204,Alcântara,MA,ALN,939522,alcantara,BR-MA-Alcantara,98,"{""area_sr"": 0.12114, ""area_km2"": 1490, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 22126}, ""side_estim_km"": 38.6, ""side_estim_deg"": 0.348, ""elongation_factor"": 1.72, ""postalCode_ranges"": ""[65250-000 65254-999]"", ""shares_border_with"": [""BR-MA-Bacurituba"", ""BR-MA-Bequimao"", ""BR-MA-Guimaraes"", ""BR-MA-PeriMirim"", ""BR-MA-SaoLuis""]}"
332823,76,2100303,"Aldeias Altas",MA,ASA,2013348,aldeias.altas,BR-MA-AldeiasAltas,99,"{""area_sr"": 0.15844, ""area_km2"": 1944, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 26979}, ""side_estim_km"": 44.1, ""side_estim_deg"": 0.398, ""elongation_factor"": 1.72, ""postalCode_ranges"": ""[65610-000 65614-999]"", ""shares_border_with"": [""BR-MA-AfonsoCunha"", ""BR-MA-Caxias"", ""BR-MA-Codo"", ""BR-MA-CoelhoNeto""]}"
332830,76,2100402,"Altamira do Maranhão",MA,ALO,2013259,altamira.maranhao,BR-MA-AltamiraMaranhao,98,"{""area_sr"": 0.059, ""area_km2"": 724, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 8250}, ""side_estim_km"": 26.9, ""side_estim_deg"": 0.2429, ""elongation_factor"": 2.08, ""postalCode_ranges"": ""[65310-000 65314-999]"", ""shares_border_with"": [""BR-MA-BrejoAreia"", ""BR-MA-SantaInes"", ""BR-MA-SantaLuzia"", ""BR-MA-VitorinoFreire""]}"
332864,76,2100436,"Alto Alegre do Maranhão",MA,,373783,alto.alegre.maranhao,BR-MA-AltoAlegreMaranhao,99,"{""area_sr"": 0.03118, ""area_km2"": 383, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 28066}, ""side_estim_km"": 19.6, ""side_estim_deg"": 0.1766, ""elongation_factor"": 1.16, ""postalCode_ranges"": ""[65413-000 65414-999]"", ""shares_border_with"": [""BR-MA-Bacabal"", ""BR-MA-Coroata"", ""BR-MA-Peritoro"", ""BR-MA-SaoLuisGonzagaMaranhao"", ""BR-MA-SaoMateusMaranhao""]}"
332962,76,2100477,"Alto Alegre do Pindaré",MA,,2028638,alto.alegre.pindare,BR-MA-AltoAlegrePindare,98,"{""area_sr"": 0.15727, ""area_km2"": 1932, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 31967}, ""side_estim_km"": 43.9, ""side_estim_deg"": 0.3966, ""elongation_factor"": 2.45, ""postalCode_ranges"": ""[65398-000 65399-999]"", ""shares_border_with"": [""BR-MA-BomJardim"", ""BR-MA-Buriticupu"", ""BR-MA-SantaLuzia"", ""BR-MA-Tufilandia""]}"
332819,76,2100501,"Alto Parnaíba",MA,ATP,1812998,alto.parnaiba,BR-MA-AltoParnaiba,99,"{""area_sr"": 0.91559, ""area_km2"": 11119, ""fat_deg_m"": 0.0000091, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 11233}, ""side_estim_km"": 105.4, ""side_estim_deg"": 0.9569, ""elongation_factor"": 1.66, ""postalCode_ranges"": ""[65810-000 65819-999]"", ""shares_border_with"": [""BR-MA-Balsas"", ""BR-MA-TassoFragoso"", ""BR-PI-BarreirasPiaui"", ""BR-PI-Gilbues"", ""BR-PI-SantaFilomena"", ""BR-TO-Lizarda"", ""BR-TO-Mateiros"", ""BR-TO-SaoFelixTocantins""]}"
332774,76,2100550,"Amapá do Maranhão",MA,,2013296,amapa.maranhao,BR-MA-AmapaMaranhao,98,"{""area_sr"": 0.04082, ""area_km2"": 502, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 7047}, ""side_estim_km"": 22.4, ""side_estim_deg"": 0.2021, ""elongation_factor"": 1.28, ""postalCode_ranges"": ""[65293-000 65293-999]"", ""shares_border_with"": [""BR-MA-CandidoMendes"", ""BR-MA-Carutapera"", ""BR-MA-GodofredoViana"", ""BR-MA-JuncoMaranhao"", ""BR-MA-LuisDomingues"", ""BR-MA-Maracacume""]}"
332886,76,2100600,"Amarante do Maranhão",MA,ATH,947834,amarante.maranhao,BR-MA-AmaranteMaranhao,99,"{""area_sr"": 0.6067, ""area_km2"": 7437, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 42017}, ""side_estim_km"": 86.2, ""side_estim_deg"": 0.7789, ""elongation_factor"": 1.68, ""postalCode_ranges"": ""[65923-000 65923-999]"", ""shares_border_with"": [""BR-MA-Acailandia"", ""BR-MA-Arame"", ""BR-MA-BomJesusSelvas"", ""BR-MA-Buriticupu"", ""BR-MA-Buritirana"", ""BR-MA-Grajau"", ""BR-MA-JoaoLisboa"", ""BR-MA-MontesAltos"", ""BR-MA-SantaLuzia"", ""BR-MA-SenadorLaRocque"", ""BR-MA-SitioNovo""]}"
332973,76,2100709,Anajatuba,MA,ANJ,2013314,anajatuba,BR-MA-Anajatuba,98,"{""area_sr"": 0.08138, ""area_km2"": 1000, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 27170}, ""side_estim_km"": 31.6, ""side_estim_deg"": 0.2853, ""elongation_factor"": 1.35, ""postalCode_ranges"": ""[65490-000 65494-999]"", ""shares_border_with"": [""BR-MA-Arari"", ""BR-MA-Cajapio"", ""BR-MA-ItapecuruMirim"", ""BR-MA-MirandaNorte"", ""BR-MA-SantaRita"", ""BR-MA-SaoJoaoBatista"", ""BR-MA-Viana""]}"
