osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
32628669300,76,140010003,69300,RR,BVA3,,69300,BR-RR-69300,95,"{""area_sr"": 0.01748, ""area_km2"": 215, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.7, ""side_estim_deg"": 0.1322, ""elongation_factor"": 5.69}"
32628669301,76,140010016,69301,RR,BVA16,,69301,BR-RR-69301,95,"{""area_sr"": 0.28051, ""area_km2"": 3448, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 58.7, ""side_estim_deg"": 0.5296, ""elongation_factor"": 3.6}"
32628669303,76,140010013,69303,RR,BVA13,,69303,BR-RR-69303,95,"{""area_sr"": 0.00025, ""area_km2"": 3, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 1.8, ""side_estim_deg"": 0.0158, ""elongation_factor"": 0.83}"
32628669304,76,140010019,69304,RR,BVA19,,69304,BR-RR-69304,95,"{""area_sr"": 0.00023, ""area_km2"": 3, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 1.7, ""side_estim_deg"": 0.0151, ""elongation_factor"": 1.65}"
32628669305,76,140010005,69305,RR,BVA5,,69305,BR-RR-69305,95,"{""area_sr"": 0.00033, ""area_km2"": 4, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 2, ""side_estim_deg"": 0.0182, ""elongation_factor"": 2}"
32628669306,76,140010015,69306,RR,BVA15,,69306,BR-RR-69306,95,"{""area_sr"": 0.00029, ""area_km2"": 4, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 1.9, ""side_estim_deg"": 0.0172, ""elongation_factor"": 1.25}"
32628669307,76,140010006,69307,RR,BVA6,,69307,BR-RR-69307,95,"{""area_sr"": 0.00109, ""area_km2"": 13, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 3.7, ""side_estim_deg"": 0.033, ""elongation_factor"": 3.11}"
32628669308,76,140010014,69308,RR,BVA14,,69308,BR-RR-69308,95,"{""area_sr"": 0.00059, ""area_km2"": 7, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 2.7, ""side_estim_deg"": 0.0243, ""elongation_factor"": 3.24}"
32628669309,76,140010017,69309,RR,BVA17,,69309,BR-RR-69309,95,"{""area_sr"": 0.0351, ""area_km2"": 431, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.8, ""side_estim_deg"": 0.1873, ""elongation_factor"": 2.9}"
32628669310,76,140010008,69310,RR,BVA8,,69310,BR-RR-69310,95,"{""area_sr"": 0.06181, ""area_km2"": 760, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 27.6, ""side_estim_deg"": 0.2486, ""elongation_factor"": 2.14}"
32628669311,76,140010009,69311,RR,BVA9,,69311,BR-RR-69311,95,"{""area_sr"": 0.00066, ""area_km2"": 8, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 2.9, ""side_estim_deg"": 0.0258, ""elongation_factor"": 2.67}"
32628669312,76,140010020,69312,RR,BVA20,,69312,BR-RR-69312,95,"{""area_sr"": 0.00078, ""area_km2"": 10, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 3.1, ""side_estim_deg"": 0.028, ""elongation_factor"": 2.67}"
32628669313,76,140010004,69313,RR,BVA4,,69313,BR-RR-69313,95,"{""area_sr"": 0.00082, ""area_km2"": 10, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 3.2, ""side_estim_deg"": 0.0287, ""elongation_factor"": 3.13}"
32628669314,76,140010011,69314,RR,BVA11,,69314,BR-RR-69314,95,"{""area_sr"": 0.00064, ""area_km2"": 8, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 2.8, ""side_estim_deg"": 0.0253, ""elongation_factor"": 7.89}"
32628669315,76,140010010,69315,RR,BVA10,,69315,BR-RR-69315,95,"{""area_sr"": 0.00154, ""area_km2"": 19, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 4.4, ""side_estim_deg"": 0.0392, ""elongation_factor"": 2.36}"
32628669316,76,140010018,69316,RR,BVA18,,69316,BR-RR-69316,95,"{""area_sr"": 0.00153, ""area_km2"": 19, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 4.3, ""side_estim_deg"": 0.0391, ""elongation_factor"": 3.06}"
32628669317,76,140010001,69317,RR,BVA1,,69317,BR-RR-69317,95,"{""area_sr"": 0.00663, ""area_km2"": 82, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 9, ""side_estim_deg"": 0.0814, ""elongation_factor"": 6.65}"
32628669318,76,140010007,69318,RR,BVA7,,69318,BR-RR-69318,95,"{""area_sr"": 0.0025, ""area_km2"": 31, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 5.5, ""side_estim_deg"": 0.05, ""elongation_factor"": 3.12}"
32628669339,76,140010012,69339,RR,BVA12,,69339,BR-RR-69339,95,"{""area_sr"": 0.0481, ""area_km2"": 591, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.3, ""side_estim_deg"": 0.2193, ""elongation_factor"": 2.68}"
32628669343,76,140010002,69343,RR,BVA2,,69343,BR-RR-69343,95,"{""area_sr"": 0.00086, ""area_km2"": 11, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 3.2, ""side_estim_deg"": 0.0293, ""elongation_factor"": 12.86}"
326291,76,1400050,"Alto Alegre",RR,AER,1763240,alto.alegre,BR-RR-AltoAlegre,95,"{""area_sr"": 2.07697, ""area_km2"": 25529, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 15249}, ""side_estim_km"": 159.8, ""side_estim_deg"": 1.4412, ""elongation_factor"": 2.78, ""postalCode_ranges"": ""[69350-000 69354-999]"", ""shares_border_with"": [""BR-RR-Amajari"", ""BR-RR-BoaVista"", ""BR-RR-Iracema"", ""BR-RR-Mucajai"", ""VE-Z-AutonomoAltoOrinoco""]}"
326296,76,1400027,Amajari,RR,,1646965,amajari,BR-RR-Amajari,95,"{""area_sr"": 2.31214, ""area_km2"": 28401, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 13561}, ""side_estim_km"": 168.5, ""side_estim_deg"": 1.5206, ""elongation_factor"": 3.51, ""postalCode_ranges"": ""[69343-000 69344-999]"", ""shares_border_with"": [""BR-RR-AltoAlegre"", ""BR-RR-BoaVista"", ""BR-RR-Pacaraima"", ""VE-F-GranSabana"", ""VE-F-RaulLeoni"", ""VE-F-Sucre"", ""VE-Z-AutonomoAltoOrinoco"", ""VE-Z-AutonomoManapiare""]}"
326286,76,1400100,"Boa Vista",RR,BVA,181056,boa.vista,BR-RR-BoaVista,95,"{""area_sr"": 0.46175, ""area_km2"": 5676, ""fat_deg_m"": 0.0000090, ""is_capital"": true, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 436591}, ""side_estim_km"": 75.3, ""side_estim_deg"": 0.6795, ""elongation_factor"": 1.87, ""postalCode_ranges"": ""[69300-001 69339-999]"", ""shares_border_with"": [""BR-RR-AltoAlegre"", ""BR-RR-Amajari"", ""BR-RR-Bonfim"", ""BR-RR-Canta"", ""BR-RR-Mucajai"", ""BR-RR-Normandia"", ""BR-RR-Pacaraima""], ""is_capital_isolevel"": 2}"
326289,76,1400159,Bonfim,RR,BFI,1763254,bonfim,BR-RR-Bonfim,95,"{""area_sr"": 0.65683, ""area_km2"": 8075, ""fat_deg_m"": 0.0000090, ""population"": {""ref"": ""IBGE"", ""date"": ""2021-07-01"", ""method"": ""estimate"", ""population"": 12701}, ""side_estim_km"": 89.9, ""side_estim_deg"": 0.8104, ""elongation_factor"": 2.53, ""postalCode_ranges"": ""[69380-000 69389-999]"", ""shares_border_with"": [""BR-RR-BoaVista"", ""BR-RR-Canta"", ""BR-RR-Caracarai"", ""BR-RR-Normandia""]}"
